function,stars_min,watchers_min,forks_min,language_min,node_id_min,stars_max,watchers_max,forks_max,language_max,node_id_max,stars_mean,watchers_mean,forks_mean
ACM-DynamoDB-Publisher,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
ACM-S3-Publisher,2,1,1,Python,node2,2,1,1,Python,node3,2,1,1
AIImageProcessor,1,0,0,JavaScript,node2,1,0,0,JavaScript,node3,1,0,0
ALB-Lambda-Target-BinaryResponse,211,22,67,Java,node2,211,22,67,Java,node3,211,22,67
ALB-Lambda-Target-HelloWorld,211,22,67,Java,node2,211,22,67,Java,node3,211,22,67
ALB-Lambda-Target-UploadFiletoS3,211,22,67,Java,node2,211,22,67,Java,node3,211,22,67
ALB-Lambda-Target-WhatisMyIP,211,22,67,Java,node2,211,22,67,Java,node3,211,22,67
AWS-Backup-DynamoDB-Rotator,7,1,1,Go,node2,7,1,1,Go,node3,7,1,1
AWSBlogsFeed,1,2,1,Python,node2,1,2,1,Python,node3,1,2,1
AWSNewsFeed,2,1,1,Python,node2,2,1,1,Python,node3,2,1,1
Alexa-Nodejs-Dynamic-Content,0,1,2,JavaScript,node2,0,1,2,JavaScript,node3,0,1,2
AmazonConnectSalesforceLambda,6,3,3,Python,node2,6,3,3,Python,node3,6,3,3
ApplicationCostMonitoring,11,3,1,Python,node2,11,3,1,Python,node3,11,3,1
AthenaAwsCmdbConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaCloudwatchConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaCloudwatchMetricsConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaDocumentDBConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaDynamoDBConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaHBaseConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaJdbcConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaRedisConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaSQLITEConnector,29,4,2,Python,node2,29,4,2,Python,node3,29,4,2
AthenaTPCDSConnector,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AthenaUserDefinedFunctions,89,21,17,Java,node2,89,21,17,Java,node3,89,21,17
AutoUpdateCloudfrontSecurityGroups,4,2,0,Python,node2,4,2,0,Python,node3,4,2,0
Automated-IAM-policy-alerts-and-approvals,6,3,1,JavaScript,node2,6,3,1,JavaScript,node3,6,3,1
Automated-Support-Ticket-Moderator,2,1,0,JavaScript,node2,2,1,0,JavaScript,node3,2,1,0
Carrier-Info,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
Chromium,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
CitizenDispatch,4,0,1,JavaScript,node2,4,0,1,JavaScript,node3,4,0,1
Cleaner,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,2,Python,node2,0,0,2,Python,node3,0,0,2
CodePipelineSlackApprover,6,1,0,Ruby,node2,6,1,0,Ruby,node3,6,1,0
CodePipelineSlackNotifier,68,2,27,Shell,node2,68,2,27,Shell,node3,68,2,27
Contact-Us,43,3,15,JavaScript,node2,43,3,15,JavaScript,node3,43,3,15
CopyRepoToCodeCommit,2,0,1,Python,node2,2,0,1,Python,node3,2,0,1
CopyToBucket,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
Cribl-S3-To-Snowflake,1,1,2,JavaScript,node2,1,1,2,JavaScript,node3,1,1,2
DailyQuotes,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
Datadog-Log-Forwarder,143,173,217,Python,node2,143,173,217,Python,node3,143,173,217
DocumentGenerator,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
EnergyProductFinder,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
EtsyShopEventSource,2,1,0,TypeScript,node2,2,1,0,TypeScript,node3,2,1,0
EventWriter,4,2,0,JavaScript,node2,4,2,0,JavaScript,node3,4,2,0
ExcelLexBot,8,2,6,Python,node2,8,2,6,Python,node3,8,2,6
ExpiryChecker,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
Find-Places,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
GenerateLookML,0,64,1,Python,node2,0,64,1,Python,node3,0,64,1
GetMetricWidgetImage,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
GetMetricWidgetImageAndNotifySlack,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
Glim,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
HDFproc,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
Image-to-Textract-Response,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
ImageProcessingPython,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
IoT-Session-Feedback,2,0,0,JavaScript,node2,2,0,0,JavaScript,node3,2,0,0
Kinesis-Enhanced-Fan-Out-to-DDB-S3,1,0,3,JavaScript,node2,1,0,3,JavaScript,node3,1,0,3
LambdaEdgeRemoveTrailingSlash,2,1,1,JavaScript,node2,2,1,1,JavaScript,node3,2,1,1
LambdaScale,7,10,2,JavaScript,node2,7,10,2,JavaScript,node3,7,10,2
LambdaUtilities,0,2,1,Python,node2,0,2,1,Python,node3,0,2,1
LightGBM,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
Load-testing,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
LogzioCloudWatchShipper,27,10,33,Python,node2,27,10,33,Python,node3,27,10,33
MWSAlerts,1,1,1,Python,node2,1,1,1,Python,node3,1,1,1
MedPal,1,0,1,JavaScript,node2,1,0,1,JavaScript,node3,1,0,1
Mill,9,8,0,JavaScript,node2,9,8,0,JavaScript,node3,9,8,0
NYC-Parks-Events-Crawler,8,0,4,Python,node2,8,0,4,Python,node3,8,0,4
NewRelic-log-ingestion,13,20,16,Python,node2,13,20,16,Python,node3,13,20,16
OpenIdAuthorizer,3,1,1,C#,node2,3,1,1,C#,node3,3,1,1
Packer-Cleaner,3,1,1,Python,node2,3,1,1,Python,node3,3,1,1
Pandas,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
Parameter-Store-ECS-Updater-and-Deployer,2,0,0,Go,node2,2,0,0,Go,node3,2,0,0
RecyclingLocationFinder,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
Return-Set-Word-Python3,0,0,1,Python,node2,0,0,1,Python,node3,0,0,1
S3-Auto-Translator,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
S3-Auto-transcriber-and-sentiment-analyzer,2,1,0,JavaScript,node2,2,1,0,JavaScript,node3,2,1,0
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,3,Python,node2,3,1,3,Python,node3,3,1,3
SOSandImageProcessing,0,1,0,None,node2,0,1,0,None,node3,0,1,0
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript,node2,2,2,1,JavaScript,node3,2,2,1
SecretsManagerMongoDBRotationMultiUser,62,15,64,Python,node2,62,15,64,Python,node3,62,15,64
SecretsManagerMongoDBRotationSingleUser,62,15,64,Python,node2,62,15,64,Python,node3,62,15,64
SecretsManagerRedshiftRotationMultiUser,62,15,64,Python,node2,62,15,64,Python,node3,62,15,64
SecretsManagerRedshiftRotationSingleUser,62,15,64,Python,node2,62,15,64,Python,node3,62,15,64
Serverless-S3-Uploader,7,1,6,JavaScript,node2,7,1,6,JavaScript,node3,7,1,6
ServerlessCron,69,6,27,Makefile,node2,69,6,27,Makefile,node3,69,6,27
ServerlessEventTestTarget,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
ServerlessNetworkingPython3,64,7,2,C++,node2,64,7,2,C++,node3,64,7,2
Set-CloudWatch-LogGroup-Expiry,0,3,0,Python,node2,0,3,0,Python,node3,0,3,0
Slack-Translate,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
SnsEmailForms,0,1,0,TypeScript,node2,0,1,0,TypeScript,node3,0,1,0
Spacy,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
SpheroAlexaSkill,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
Tesseract,853,43,160,Python,node2,853,43,160,Python,node3,853,43,160
ThundraHelloWorld,13,4,4,Java,node2,13,4,4,Java,node3,13,4,4
ThundraImageLinkExtractor,13,4,4,Java,node2,13,4,4,Java,node3,13,4,4
ThundraNodeJSHelloWorld,9,2,3,JavaScript,node2,9,2,3,JavaScript,node3,9,2,3
ThundraPythonHelloWorld,2,3,0,Python,node2,2,3,0,Python,node3,2,3,0
TweetEventSource,2,2,2,TypeScript,node2,2,2,2,TypeScript,node3,2,2,2
TwilioMessageReceiver,10,1,2,None,node2,10,1,2,None,node3,10,1,2
Twitter-Poller-to-Kinesis-Firehose,102,26,46,Python,node2,102,26,46,Python,node3,102,26,46
Update-Route53-Record-to-Ec2-PublicIp-Python3,2,1,2,Python,node2,2,1,2,Python,node3,2,1,2
UpdateLambdaLayers,9,0,0,Python,node2,9,0,0,Python,node3,9,0,0
UvaSoftware-Scanii-Lambda,21,4,5,JavaScript,node2,21,4,5,JavaScript,node3,21,4,5
Voice-Lexicon-API,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
acloudguru-alexadevs-leaderboard,4,7,6,JavaScript,node2,4,7,6,JavaScript,node3,4,7,6
acm-cert-validation,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
acm-dns-record-manager,2,1,1,JavaScript,node2,2,1,1,JavaScript,node3,2,1,1
acme-cert-updater,4,2,0,Python,node2,4,2,0,Python,node3,4,2,0
age-nudity-recognizer,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
alb-logs-firehose-publisher,5,1,0,Go,node2,5,1,0,Go,node3,5,1,0
alexa-anagram,5,3,4,JavaScript,node2,5,3,4,JavaScript,node3,5,3,4
alexa-city-biking-skill,2,1,2,JavaScript,node2,2,1,2,JavaScript,node3,2,1,2
alexa-skill-clean-code-template,9,0,2,JavaScript,node2,9,0,2,JavaScript,node3,9,0,2
alexa-skills-kit-color-expert,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
alexa-skills-kit-color-expert-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript,node2,1,0,0,JavaScript,node3,1,0,0
alexa-skills-kit-nodejs-factskill,999,137,1184,JavaScript,node2,999,137,1184,JavaScript,node3,999,137,1184
alexa-skills-kit-nodejs-hello-world,153,56,258,JavaScript,node2,153,56,258,JavaScript,node3,153,56,258
alexa-skills-kit-nodejs-howtoskill,235,56,205,JavaScript,node2,235,56,205,JavaScript,node3,235,56,205
alexa-skills-kit-nodejs-premium-facts-skill,53,25,56,JavaScript,node2,53,25,56,JavaScript,node3,53,25,56
alexa-skills-kit-nodejs-triviaskill,242,75,317,JavaScript,node2,242,75,317,JavaScript,node3,242,75,317
alexa-skills-kit-python36-factskill,87,22,145,Python,node2,87,22,145,Python,node3,87,22,145
alexa-smart-home-skill-adapter,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
alexa-super-heroes,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
algorithmia,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
amazon-cloudfront-access-logs-queries,27,4,23,JavaScript,node2,27,4,23,JavaScript,node3,27,4,23
amazon-cognito-passwordless-email-auth,83,5,31,TypeScript,node2,83,5,31,TypeScript,node3,83,5,31
amazon-cognito-passwordless-facial-rekognition-auth,13,4,4,JavaScript,node2,13,4,4,JavaScript,node3,13,4,4
amazon-connect-outbound-prompt-call,50,3,15,Makefile,node2,50,3,15,Makefile,node3,50,3,15
amazon-elasticsearch-service-with-cognito,11,4,2,TypeScript,node2,11,4,2,TypeScript,node3,11,4,2
amazon-pinpoint-call-generator,6,2,4,JavaScript,node2,6,2,4,JavaScript,node3,6,2,4
amplify-console-notification,0,1,0,TypeScript,node2,0,1,0,TypeScript,node3,0,1,0
amplify-passwordless-sms-auth,26,4,30,Swift,node2,26,4,30,Swift,node3,26,4,30
api-gateway-authorizer-nodejs,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
api-gateway-authorizer-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
api-gateway-component,0,2,0,None,node2,0,2,0,None,node3,0,2,0
api-gateway-dev-portal,528,35,181,JavaScript,node2,528,35,181,JavaScript,node3,528,35,181
api-gateway-multiple-origin-cors,6682,333,1699,Python,node2,6682,333,1699,Python,node3,6682,333,1699
api-lambda-delete-dynamodb,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
api-lambda-get-all-dynamodb,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
api-lambda-get-one-dynamodb,6,1,0,JavaScript,node2,6,1,0,JavaScript,node3,6,1,0
api-lambda-save-dynamodb,36,3,10,JavaScript,node2,36,3,10,JavaScript,node3,36,3,10
api-lambda-send-bulk-templated-email-ses,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
api-lambda-send-email-ses,18,2,3,JavaScript,node2,18,2,3,JavaScript,node3,18,2,3
api-lambda-send-templated-email-ses,4,2,0,JavaScript,node2,4,2,0,JavaScript,node3,4,2,0
api-lambda-sns-publisher,0,1,1,JavaScript,node2,0,1,1,JavaScript,node3,0,1,1
api-lambda-stripe-charge,30,3,5,JavaScript,node2,30,3,5,JavaScript,node3,30,3,5
api-lambda-update-dynamodb,3,2,1,JavaScript,node2,3,2,1,JavaScript,node3,3,2,1
api-websockets-push-notifications-dynamodb,2,1,1,JavaScript,node2,2,1,1,JavaScript,node3,2,1,1
appsync-broadcaster,12,1,2,JavaScript,node2,12,1,2,JavaScript,node3,12,1,2
appsync-graphql-crud-dynamodb,9,1,1,None,node2,9,1,1,None,node3,9,1,1
async-custom-metrics,17,1,0,JavaScript,node2,17,1,0,JavaScript,node3,17,1,0
aurora-api,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
auto-set-log-group-retention,30,2,4,JavaScript,node2,30,2,4,JavaScript,node3,30,2,4
auto-subscribe-log-group-to-arn,30,2,4,JavaScript,node2,30,2,4,JavaScript,node3,30,2,4
autodeploy-layer,8,1,1,JavaScript,node2,8,1,1,JavaScript,node3,8,1,1
aws-bills-to-telegram,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
aws-console-sign-in-to-telegram,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-deployment-framework,248,34,77,Python,node2,248,34,77,Python,node3,248,34,77
aws-dynamodb-stream-eventbridge-fanout,18,9,3,Java,node2,18,9,3,Java,node3,18,9,3
aws-health-event-to-slack-message,5,1,1,Python,node2,5,1,1,Python,node3,5,1,1
aws-internal-healthcheck,4,1,2,JavaScript,node2,4,1,2,JavaScript,node3,4,1,2
aws-lambda-power-tuning,969,34,55,JavaScript,node2,969,34,55,JavaScript,node3,969,34,55
aws-private-ca-policy-venafi,3,8,2,Go,node2,3,8,2,Go,node3,3,8,2
aws-sagemaker-ground-truth-recipe,6,1,6,Python,node2,6,1,6,Python,node3,6,1,6
aws-sam-codebuild-ci,15,11,6,None,node2,15,11,6,None,node3,15,11,6
aws-sam-codepipeline-cd,24,11,12,None,node2,24,11,12,None,node3,24,11,12
aws-serverless-codepipeline-serverlessrepo-publish,11,11,7,Python,node2,11,11,7,Python,node3,11,11,7
aws-serverless-financial-functions-effect,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-fv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-fvschedule,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-irr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-mirr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-nominal,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-nper,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-npv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-pmt,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-ppmt,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-pv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-rate,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-sln,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-wrapper,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-xirr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-xnpv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-sns-forwarder,6,10,4,Python,node2,6,10,4,Python,node3,6,10,4
aws-serverless-sqs-event-source,32,7,12,Java,node2,32,7,12,Java,node3,32,7,12
aws-serverless-twitter-event-source,65,14,17,Python,node2,65,14,17,Python,node3,65,14,17
aws-serverless-website-canary,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
aws-serverlessrepo-auto-deploy,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-services-by-region,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-sns-to-slack-publisher,18,1,7,Python,node2,18,1,7,Python,node3,18,1,7
aws-sqs-dlq-redriver,3,1,2,Python,node2,3,1,2,Python,node3,3,1,2
aws-support-bot,0,0,1,Python,node2,0,0,1,Python,node3,0,0,1
aws-tag-explorer,10,1,3,Python,node2,10,1,3,Python,node3,10,1,3
awscallouts,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
birthday-to-age,0,1,0,Go,node2,0,1,0,Go,node3,0,1,0
blur,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
blur-faces-rekognition,2,1,0,Python,node2,2,1,0,Python,node3,2,1,0
buildkite-serverless-agent,11,0,2,Go,node2,11,0,2,Go,node3,11,0,2
cfn-look-up-ami-ids,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cfn-news-to-telegram,1,1,0,HTML,node2,1,1,0,HTML,node3,1,1,0
cfn-stack-outputs,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
check-datadog-custom-metrics-usage,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
chime-eks-top,1,1,0,Makefile,node2,1,1,0,Makefile,node3,1,1,0
cloudfront-ab-test,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-access-request-in-response,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-authorization-at-edge,45,7,13,TypeScript,node2,45,7,13,TypeScript,node3,45,7,13
cloudfront-cdn,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
cloudfront-http-redirect,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-modify-querystring,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-modify-response-header,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-multiple-remote-calls-aggregate-response,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-redirect-on-viewer-country,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-redirect-unauthenticated-users,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-response-generation,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript,node2,1,0,2,JavaScript,node3,1,0,2
cloudfront-security-group-update-ips,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
cloudfront-sg-manager,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
cloudfront-simple-remote-call,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudwatch-alarm-to-slack,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarm-to-slack-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarm-to-slack-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarms-macro,16,2,1,JavaScript,node2,16,2,1,JavaScript,node3,16,2,1
cloudwatch-loggly-forwarder,10,12,0,Ruby,node2,10,12,0,Ruby,node3,10,12,0
cloudwatch-logs-janitor,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
cloudwatch-logs-process-data,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-logs-to-loggly,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
codedeployhook,0,4,0,Go,node2,0,4,0,Go,node3,0,4,0
codepipeline-s3-deploy,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
codepipeline-s3-objects-public-read,0,1,2,JavaScript,node2,0,1,2,JavaScript,node3,0,1,2
codepipeline-s3-objects-public-read-multi-buildartifact,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
codepipeline-versioner,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
cognito-sync-trigger,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
comment-moderator,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
commentable-rs,4,2,0,Rust,node2,4,2,0,Rust,node3,4,2,0
compress,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
config-rule-change-triggered,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
config-rule-periodic,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
create-databases-in-rds,0,23,0,Python,node2,0,23,0,Python,node3,0,23,0
create-databases-is-rds,0,23,0,Python,node2,0,23,0,Python,node3,0,23,0
crop,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
cw-logs-to-chime,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
cw-logs-to-lambda,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
cw-logs-to-slack,4,1,3,Makefile,node2,4,1,3,Makefile,node3,4,1,3
daily-billing-report-to-slack,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
datadog-process-rds-metrics,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dazn-lambda-powertools,230,98,21,JavaScript,node2,230,98,21,JavaScript,node3,230,98,21
ddb-copier,5,2,3,Java,node2,5,2,3,Java,node3,5,2,3
deno,147,8,2,TypeScript,node2,147,8,2,TypeScript,node3,147,8,2
deno-hello-world,147,8,2,TypeScript,node2,147,8,2,TypeScript,node3,147,8,2
deploy-to-s3,15,4,8,Python,node2,15,4,8,Python,node3,15,4,8
