function,stars_min,watchers_min,forks_min,language_min,node_id_min,stars_max,watchers_max,forks_max,language_max,node_id_max,stars_mean,watchers_mean,forks_mean
detect-stack-drifts,3,1,1,Python,node2,3,1,1,Python,node3,3,1,1
dungeon-maestro-slack-bot,3,1,0,Go,node2,3,1,0,Go,node3,3,1,0
dynamic-security-group-builder,50,3,15,Makefile,node2,50,3,15,Makefile,node3,50,3,15
dynamodb-history-storer,9,2,1,JavaScript,node2,9,2,1,JavaScript,node3,9,2,1
dynamodb-lambda-publisher-sns,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
dynamodb-lex,2,2,1,JavaScript,node2,2,2,1,JavaScript,node3,2,2,1
dynamodb-local-python,6,0,2,Python,node2,6,0,2,Python,node3,6,0,2
dynamodb-process-stream,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dynamodb-process-stream-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dynamodb-process-stream-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
dynamodb-scaling-event-to-datadog,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
dynamodb-table-storage-metrics,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
dynamodb-to-s3-importer,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
ec2-cleanup,0,0,0,Go,node2,0,0,0,Go,node3,0,0,0
ec2-spot-interruption-logging-insights,599,63,203,Jupyter Notebook,node2,599,63,203,Jupyter Notebook,node3,599,63,203
ecr-deploy,8,1,3,Python,node2,8,1,3,Python,node3,8,1,3
ecs-svc-custom-metrics-logger,100,12,64,Python,node2,100,12,64,Python,node3,100,12,64
ecs-task-stats-logger,100,12,64,Python,node2,100,12,64,Python,node3,100,12,64
eks-auth-update-hook,61,5,26,Makefile,node2,61,5,26,Makefile,node3,61,5,26
eks-lambda-drainer,0,0,0,None,node2,0,0,0,None,node3,0,0,0
elasticsearch-cleanup,99,16,63,Python,node2,99,16,63,Python,node3,99,16,63
exif-metadata-extractor,4,1,1,Python,node2,4,1,1,Python,node3,4,1,1
exif-reader,2,1,2,Perl,node2,2,1,2,Perl,node3,2,1,2
failed-emr-info,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
ffmpeg-lambda-layer,103,10,21,JavaScript,node2,103,10,21,JavaScript,node3,103,10,21
fork-event-replay-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-event-search-analytics-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-event-storage-backup-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-example-ecommerce-checkout-api,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-example-ecommerce-checkout-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
format-splunk-aws-sns-alert,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
fqdnService,0,9,0,TypeScript,node2,0,9,0,TypeScript,node3,0,9,0
galleria,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
generic-webhook-to-eventbridge,18,2,2,TypeScript,node2,18,2,2,TypeScript,node3,18,2,2
generic-webhook-to-sns,3,3,0,TypeScript,node2,3,3,0,TypeScript,node3,3,3,0
getting-started-with-dynamodb-reviews-inserter,0,2,1,Python,node2,0,2,1,Python,node3,0,2,1
ghostscript-lambda-layer,5,1,0,Makefile,node2,5,1,0,Makefile,node3,5,1,0
github-codebuild-logs,29,4,5,Python,node2,29,4,5,Python,node3,29,4,5
github-webhook-slack-notifier,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
guardduty-log-uploader,3,1,1,Go,node2,3,1,1,Go,node3,3,1,1
hello-go-serverless-webapp,19,3,4,Go,node2,19,3,4,Go,node3,19,3,4
hello-world,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
hello-world-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
hello-world-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
helloWorldLex,23,3,10,JavaScript,node2,23,3,10,JavaScript,node3,23,3,10
hotdog-detector,91,38,25,Python,node2,91,38,25,Python,node3,91,38,25
https-request,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
human-trafficking-facts,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
human-trafficking-goods-indicator-api,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
image-magick-lambda-layer,67,5,39,JavaScript,node2,67,5,39,JavaScript,node3,67,5,39
image-moderation-chatbot,122,47,53,Python,node2,122,47,53,Python,node3,122,47,53
image-processing-service,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
image-proxy,5,0,1,Go,node2,5,0,1,Go,node3,5,0,1
image-resizer-service,64,0,32,JavaScript,node2,64,0,32,JavaScript,node3,64,0,32
inbound-ses-spam-filter,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
inbound-ses-spam-filter-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
inspector-scheduled-run,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
json-logs-to-kinesis-firehose,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
kim-demo,1,2,2,JavaScript,node2,1,2,2,JavaScript,node3,1,2,2
kim-demo2,1,2,2,JavaScript,node2,1,2,2,JavaScript,node3,1,2,2
kinesis-analytics-process-compressed-record,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-analytics-process-kpl-record,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-analytics-process-record,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-analytics-process-record-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-data-firehose-to-s3,1,1,0,Makefile,node2,1,1,0,Makefile,node3,1,1,0
kinesis-firehose-apachelog-to-csv,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-apachelog-to-csv-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-apachelog-to-json,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
kinesis-firehose-apachelog-to-json-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-cloudwatch-logs-processor,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-process-record,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-process-record-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-process-record-streams-as-source,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
kinesis-firehose-process-record-streams-as-source-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-syslog-to-csv,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-syslog-to-csv-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-syslog-to-json,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-firehose-syslog-to-json-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
kinesis-process-record,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
kinesis-process-record-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lambci,3768,96,220,Shell,node2,3768,96,220,Shell,node3,3768,96,220
lambda-authorizer-basic-auth,29,1,3,Python,node2,29,1,3,Python,node3,29,1,3
lambda-canary,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lambda-canary-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
lambda-create-email-template-ses,2,2,0,JavaScript,node2,2,2,0,JavaScript,node3,2,2,0
lambda-customresource-testing,0,0,0,None,node2,0,0,0,None,node3,0,0,0
lambda-edge-header-adder-python,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
lambda-edge-logs-aggregator,2,1,0,Shell,node2,2,1,0,Shell,node3,2,1,0
lambda-iot-rule,0,1,1,JavaScript,node2,0,1,1,JavaScript,node3,0,1,1
lambda-janitor,22,4,8,JavaScript,node2,22,4,8,JavaScript,node3,22,4,8
lambda-layer-awscli,50,3,15,Makefile,node2,50,3,15,Makefile,node3,50,3,15
lambda-layer-headless-chromium,34,1,5,Makefile,node2,34,1,5,Makefile,node3,34,1,5
lambda-layer-kubectl,61,5,26,Makefile,node2,61,5,26,Makefile,node3,61,5,26
lambda-layer-mecab-python3,0,1,0,Dockerfile,node2,0,1,0,Dockerfile,node3,0,1,0
lambda-logs-athena-example,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
lambda-logs-event-source,0,4,0,JavaScript,node2,0,4,0,JavaScript,node3,0,4,0
lambda-s3-zip,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
lambda-slack-handler,0,2,1,JavaScript,node2,0,2,1,JavaScript,node3,0,2,1
lambda-test-harness,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lambda-to-chime,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
lambda-to-slack,5,1,5,Python,node2,5,1,5,Python,node3,5,1,5
lambda-versions-deleter,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
lambda-web-page-example,4,0,6,JavaScript,node2,4,0,6,JavaScript,node3,4,0,6
lambdium,213,12,31,JavaScript,node2,213,12,31,JavaScript,node3,213,12,31
lending-app-nodejs6,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
lex-book-trip,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
lex-book-trip-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lex-make-appointment,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lex-make-appointment-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lex-order-flowers,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
lex-order-flowers-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
lightsail-backups,44,8,19,JavaScript,node2,44,8,19,JavaScript,node3,44,8,19
logicmonitor-send-cloudwatch-events,2,18,0,Python,node2,2,18,0,Python,node3,2,18,0
logicmonitor-send-eventbridge-events,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
logs-insights-to-metric,0,1,0,None,node2,0,1,0,None,node3,0,1,0
machine-learning-with-scikit-learn-on-lamdba,11,0,4,Python,node2,11,0,4,Python,node3,11,0,4
mechanicalrock-ops-metrics,2,1,0,TypeScript,node2,2,1,0,TypeScript,node3,2,1,0
mechanicalrock-pipeline-dashboard,1,0,0,JavaScript,node2,1,0,0,JavaScript,node3,1,0,0
meta-codepipeline,0,1,1,Shell,node2,0,1,1,Shell,node3,0,1,1
metric-publisher-app,5,11,7,Python,node2,5,11,7,Python,node3,5,11,7
microservice-http-endpoint,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
microservice-http-endpoint-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
microservice-http-endpoint-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
monte-carlo-pi,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
my-ip-today,4,1,2,TypeScript,node2,4,1,2,TypeScript,node3,4,1,2
nephridium,2,0,0,JavaScript,node2,2,0,0,JavaScript,node3,2,0,0
node-exec,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
owlhub-lambda-version-cleaner,1,2,0,Python,node2,1,2,0,Python,node3,1,2,0
pandoc-lambda-layer,29,1,11,JavaScript,node2,29,1,11,JavaScript,node3,29,1,11
phone-home,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
photo-gallery,1,1,0,TypeScript,node2,1,1,0,TypeScript,node3,1,1,0
pipeline-dashboard,88,8,33,JavaScript,node2,88,8,33,JavaScript,node3,88,8,33
plantuml-render,22,5,4,HTML,node2,22,5,4,HTML,node3,22,5,4
platform-authorizer,3,4,1,JavaScript,node2,3,4,1,JavaScript,node3,3,4,1
platform-client-secret-rotator,1,5,0,Python,node2,1,5,0,Python,node3,1,5,0
portable-serverless-app,12,4,3,JavaScript,node2,12,4,3,JavaScript,node3,12,4,3
pushilka-cloudfront-headers,0,1,2,JavaScript,node2,0,1,2,JavaScript,node3,0,1,2
python-lambdacore,7,1,1,Python,node2,7,1,1,Python,node3,7,1,1
python-sam-codebuild-ci,3,2,1,None,node2,3,2,1,None,node3,3,2,1
realtime-chatapp,2,0,1,None,node2,2,0,1,None,node3,2,0,1
realworld-serverless-application,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-analytics,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-backend,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-backend-api,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-backend-database,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-ops,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-ops-alarm,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-ops-dashboard,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
realworld-serverless-application-static-website,309,27,46,Java,node2,309,27,46,Java,node3,309,27,46
rekognition-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
rekognition-sqs,8,0,5,Python,node2,8,0,5,Python,node3,8,0,5
requests-python-layer-app,1,1,0,Shell,node2,1,1,0,Shell,node3,1,1,0
resize,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
retweet-leaderboard,10,2,1,Java,node2,10,2,1,Java,node3,10,2,1
rev11-attiotbutton-SQL,0,2,0,None,node2,0,2,0,None,node3,0,2,0
rev11-attiotbutton-filemakerapi,0,2,0,None,node2,0,2,0,None,node3,0,2,0
rotate,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
rsvg-convert-lambda-layer,27,1,11,JavaScript,node2,27,1,11,JavaScript,node3,27,1,11
s3-cost-explorer,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
s3-get-object,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
s3-get-object-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
s3-get-object-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
s3-lambda-csv-to-xlsx-s3,6,2,3,JavaScript,node2,6,2,3,JavaScript,node3,6,2,3
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,5,2,3,JavaScript,node2,5,2,3,JavaScript,node3,5,2,3
s3-lambda-ffmpeg-mov-to-mp4-s3,6,1,5,JavaScript,node2,6,1,5,JavaScript,node3,6,1,5
s3-lambda-image-text-detection-dynamodb,3,1,3,TypeScript,node2,3,1,3,TypeScript,node3,3,1,3
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
s3-lambda-markdown-to-html-s3,2,1,1,JavaScript,node2,2,1,1,JavaScript,node3,2,1,1
s3-lambda-publisher-sns,3,1,2,JavaScript,node2,3,1,2,JavaScript,node3,3,1,2
s3-lambda-save-dynamodb,10,2,1,JavaScript,node2,10,2,1,JavaScript,node3,10,2,1
s3-lambda-sns-demo,1,0,0,Python,node2,1,0,0,Python,node3,1,0,0
s3-lambda-svg-to-pdf-s3,1,1,1,JavaScript,node2,1,1,1,JavaScript,node3,1,1,1
s3-lambda-transcribe-audio-to-text-s3,62,2,0,JavaScript,node2,62,2,0,JavaScript,node3,62,2,0
s3-pgp-encryptor,3,1,5,JavaScript,node2,3,1,5,JavaScript,node3,3,1,5
s3-presigned-url,6682,333,1699,Python,node2,6682,333,1699,Python,node3,6682,333,1699
s3-replicator,5,2,3,JavaScript,node2,5,2,3,JavaScript,node3,5,2,3
s3-signed-urls,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
s3-static-site,6,1,2,None,node2,6,1,2,None,node3,6,1,2
s3-to-dynamodb-importer,6,1,1,JavaScript,node2,6,1,1,JavaScript,node3,6,1,1
sagemaker-image-classification,0,2,1,Jupyter Notebook,node2,0,2,1,Jupyter Notebook,node3,0,2,1
sam-alb,3,4,0,Go,node2,3,4,0,Go,node3,3,4,0
sar-aws-sns-to-slack,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
selfless-service-updates,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
sepia,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
serverless-agentless-honeycomb-publisher,1,0,0,Go,node2,1,0,0,Go,node3,1,0,0
serverless-chrome-layer,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
serverless-cicd-pipeline,1,1,0,None,node2,1,1,0,None,node3,1,1,0
serverless-cognito,50,2,7,Python,node2,50,2,7,Python,node3,50,2,7
serverless-cognito-auth,1,1,0,Go,node2,1,1,0,Go,node3,1,1,0
serverless-data-pipeline,8,2,0,Python,node2,8,2,0,Python,node3,8,2,0
serverless-form-handler,11,0,3,JavaScript,node2,11,0,3,JavaScript,node3,11,0,3
serverless-numpy,3,1,1,Python,node2,3,1,1,Python,node3,3,1,1
serverless-search,104,4,10,JavaScript,node2,104,4,10,JavaScript,node3,104,4,10
serverless-todo,22,3,13,JavaScript,node2,22,3,13,JavaScript,node3,22,3,13
serverless-uptime-monitor,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
ses-notification-nodejs,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
ses-notification-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
sfn-callback-urls,34,1,4,Python,node2,34,1,4,Python,node3,34,1,4
sfn-yaml-macro,12,1,2,Python,node2,12,1,2,Python,node3,12,1,2
ship-logs-to-honeycomb,4,1,1,JavaScript,node2,4,1,1,JavaScript,node3,4,1,1
signed-links-cognito,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
signed-url-generator,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
simple-mobile-backend,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
slack-echo-command,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
slack-echo-command-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
slack-slash-hodor,1,1,1,JavaScript,node2,1,1,1,JavaScript,node3,1,1,1
small-data-service,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
sns-lambda-put-cloudwatch,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript,node2,2,1,0,JavaScript,node3,2,1,0
sns-message,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
sns-message-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
sns-subscriber-lambda-s3,3,1,1,JavaScript,node2,3,1,1,JavaScript,node3,3,1,1
sns-subscription-filter-policy-string,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
sns-to-telegram,0,0,0,Go,node2,0,0,0,Go,node3,0,0,0
sns2telegram,6,1,0,Go,node2,6,1,0,Go,node3,6,1,0
speelycaptor,3,2,0,JavaScript,node2,3,2,0,JavaScript,node3,3,2,0
sqs-poller,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
sqs-to-dynamodb,0,1,1,JavaScript,node2,0,1,1,JavaScript,node3,0,1,1
ssm-parameters-getter-lambda,2,0,1,JavaScript,node2,2,0,1,JavaScript,node3,2,0,1
ssm-sign-proxy,0,2,0,Go,node2,0,2,0,Go,node3,0,2,0
standard-redirects-for-cloudfront,16,2,3,JavaScript,node2,16,2,3,JavaScript,node3,16,2,3
step-functions-error,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
step-functions-error-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
step-functions-send-to-sns,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
stu,23,4,9,HTML,node2,23,4,9,HTML,node3,23,4,9
sumologic-app-utils,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-aws-cloudtrail-benchmark,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-guardduty-benchmark,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-jfrog-xray,1,29,1,Python,node2,1,29,1,Python,node3,1,29,1
sumologic-loggroup-connector,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-mongodb-atlas,0,5,2,Python,node2,0,5,2,Python,node3,0,5,2
sumologic-process-logs,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
sumologic-securityhub-collector,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-securityhub-forwarder,98,47,107,Python,node2,98,47,107,Python,node3,98,47,107
sumologic-slack,0,29,1,Python,node2,0,29,1,Python,node3,0,29,1
text2event,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
tf-state-store,0,0,0,Makefile,node2,0,0,0,Makefile,node3,0,0,0
tic-tac-toe,1,1,1,Python,node2,1,1,1,Python,node3,1,1,1
timber-logging,3,8,2,Python,node2,3,8,2,Python,node3,3,8,2
timestamp-custom-resource,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
traffic-cop-query-engine,4,3,3,C++,node2,4,3,3,C++,node3,4,3,3
trigger-t2-unlimited-with-sns,3,1,2,Python,node2,3,1,2,Python,node3,3,1,2
tweet-sentiment,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
twilio-conference,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
twilio-forward,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
twilio-menu,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
twilio-simple-blueprint,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
twitter-to-slack-message,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
uploader,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
url-redirect-https,69,6,27,Makefile,node2,69,6,27,Makefile,node3,69,6,27
uvasoftware-guarana,0,1,0,Java,node2,0,1,0,Java,node3,0,1,0
vpc-traffic-mirroring-source-automation,4,4,2,Python,node2,4,4,2,Python,node3,4,4,2
whats-your-name,15,2,2,Python,node2,15,2,2,Python,node3,15,2,2
workmail-chat-bot-python,7,3,5,Python,node2,7,3,5,Python,node3,7,3,5
workmail-hello-world-python,7,3,5,Python,node2,7,3,5,Python,node3,7,3,5
workmail-wordpress-python,7,3,5,Python,node2,7,3,5,Python,node3,7,3,5
